wer	ld	m	insertions	deletions	substitutions	inserted_words	deleted_words	substituted_words
0.2	2	10	0	1	1	[]	['antre']	[('o', 'antr')]
0.0	0	7	0	0	0	[]	[]	[]
0.0	0	10	0	0	0	[]	[]	[]
0.0	0	8	0	0	0	[]	[]	[]
0.14285714285714285	1	7	0	0	1	[]	[]	[('séu,', 'seu,')]
0.0	0	6	0	0	0	[]	[]	[]
0.0	0	9	0	0	0	[]	[]	[]
0.0	0	8	0	0	0	[]	[]	[]
0.125	1	8	1	0	0	['a']	[]	[]
0.0	0	8	0	0	0	[]	[]	[]
0.0	0	4	0	0	0	[]	[]	[]
0.0	0	6	0	0	0	[]	[]	[]
0.0	0	7	0	0	0	[]	[]	[]
0.0	0	4	0	0	0	[]	[]	[]
0.0	0	6	0	0	0	[]	[]	[]
0.0	0	4	0	0	0	[]	[]	[]
0.0	0	3	0	0	0	[]	[]	[]
0.0	0	3	0	0	0	[]	[]	[]
0.0	0	6	0	0	0	[]	[]	[]
0.0	0	6	0	0	0	[]	[]	[]
0.0	0	4	0	0	0	[]	[]	[]
0.0	0	5	0	0	0	[]	[]	[]
0.0	0	6	0	0	0	[]	[]	[]
0.0	0	5	0	0	0	[]	[]	[]
0.0	0	6	0	0	0	[]	[]	[]
0.4	2	5	0	1	1	[]	['outras']	[('as', 'outralas')]
0.0	0	5	0	0	0	[]	[]	[]
0.0	0	4	0	0	0	[]	[]	[]
0.0	0	7	0	0	0	[]	[]	[]
0.0	0	5	0	0	0	[]	[]	[]
0.0	0	4	0	0	0	[]	[]	[]
0.0	0	4	0	0	0	[]	[]	[]
0.0	0	4	0	0	0	[]	[]	[]
0.0	0	5	0	0	0	[]	[]	[]
0.0	0	5	0	0	0	[]	[]	[]
0.0	0	3	0	0	0	[]	[]	[]
0.0	0	5	0	0	0	[]	[]	[]
0.0	0	4	0	0	0	[]	[]	[]
0.0	0	5	0	0	0	[]	[]	[]
0.0	0	2	0	0	0	[]	[]	[]
0.0	0	3	0	0	0	[]	[]	[]
0.0	0	6	0	0	0	[]	[]	[]
0.0	0	4	0	0	0	[]	[]	[]
